unique_id,subject_type,un_reference_number,ofsi_group_id,date_designated,last_updated
AFG0001,entity,TAe.010,12703,29/06/2012,16/04/2026
AFG0002,entity,TAe.011,12704,29/06/2012,12/01/2022
AFG0003,entity,TAe.012,12811,05/11/2012,12/01/2022
AFG0004,entity,TAe.013,12814,21/11/2012,12/01/2022
AFG0005,entity,TAe.014,13269,27/03/2015,12/01/2022
AFG0006,individual,TAi.002,7172,25/01/2001,14/04/2026
AFG0007,individual,TAi.003,6909,25/01/2001,29/04/2026
AFG0008,individual,TAi.004,7387,12/04/2000,07/02/2022
AFG0009,individual,TAi.005,7022,23/02/2001,18/12/2021
AFG0010,individual,TAi.006,7167,31/01/2001,18/12/2021
AFG0011,individual,TAi.007,7270,31/01/2001,29/04/2026
AFG0012,individual,TAi.008,7532,23/02/2001,18/12/2021
AFG0013,individual,TAi.009,6952,23/02/2001,18/12/2021
AFG0014,individual,TAi.011,7269,25/01/2001,18/12/2021
AFG0015,individual,TAi.013,7354,23/02/2001,18/12/2021
AFG0016,individual,TAi.014,6936,08/03/2001,18/12/2021
AFG0017,individual,TAi.015,7409,25/01/2001,18/12/2021
AFG0018,individual,TAi.016,7483,25/01/2001,18/12/2021
AFG0019,individual,TAi.019,7299,31/01/2001,18/12/2021
AFG0020,individual,TAi.020,7278,23/02/2001,18/12/2021
AFG0021,individual,TAi.021,6953,31/01/2001,18/12/2021
AFG0022,individual,TAi.022,6956,25/01/2001,18/12/2021
AFG0023,individual,TAi.023,7281,23/02/2001,29/04/2026
AFG0024,individual,TAi.024,7060,23/02/2001,14/04/2026
AFG0025,individual,TAi.025,6912,23/02/2001,18/12/2021
AFG0026,individual,TAi.026,7307,25/01/2001,14/04/2026
AFG0027,individual,TAi.027,7162,23/02/2001,29/04/2026
AFG0028,individual,TAi.028,7445,23/02/2001,18/12/2021
AFG0029,individual,TAi.030,7025,31/01/2001,18/12/2021
AFG0030,individual,TAi.031,6947,23/02/2001,18/12/2021
AFG0031,individual,TAi.033,7557,25/01/2001,18/12/2021
AFG0032,individual,TAi.034,6908,25/01/2001,18/12/2021
AFG0033,individual,TAi.036,7134,23/02/2001,18/12/2021
AFG0034,individual,TAi.038,6904,23/02/2001,29/04/2026
AFG0035,individual,TAi.039,7540,23/02/2001,18/12/2021
AFG0036,individual,TAi.040,7165,31/01/2001,18/12/2021
AFG0037,individual,TAi.042,7388,23/02/2001,18/12/2021
AFG0038,individual,TAi.043,7164,25/01/2001,29/04/2026
AFG0039,individual,TAi.044,7374,23/02/2001,29/04/2026
AFG0040,individual,TAi.047,7209,25/01/2001,11/03/2026
AFG0041,individual,TAi.049,7187,25/01/2001,18/12/2021
AFG0042,individual,TAi.051,7309,23/02/2001,18/12/2021
AFG0043,individual,TAi.052,7550,23/02/2001,18/12/2021
AFG0044,individual,TAi.053,6914,25/01/2001,25/01/2022
AFG0045,individual,TAi.057,6942,23/02/2001,18/12/2021
AFG0046,individual,TAi.058,7527,25/01/2001,29/04/2026
AFG0047,individual,TAi.060,6955,25/01/2001,29/04/2026
AFG0048,individual,TAi.063,7127,23/02/2001,18/12/2021
AFG0049,individual,TAi.064,7132,23/02/2001,18/12/2021
